Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Apr 02 - 2018,4:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,5:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:45,0.0000000000,0.0000000000
